NodeA,NodeB,RepairTime
1,2,6.632290676496716
2,1,12.365326994629804
4,5,13.627957130051984
4,11,8.495088887866787
5,4,7.469199892580554
5,6,7.191719232953883
5,9,11.393223027022584
6,5,14.088068963729183
6,8,8.814596915688984
8,6,6.1774592096059155
8,9,10.845796310058393
9,5,19.818029659829335
9,8,14.265065125827453
10,16,13.218481840097528
10,17,17.712605994836352
11,4,7.670504681645647
11,12,18.300596474440148
12,11,9.608687573242651
12,13,8.40515037465477
13,12,5.926335105247394
13,24,18.5921152607845
16,10,15.76257190683095
17,10,7.6426608280729065
17,19,18.18140579624339
18,20,18.96952322748531
19,17,18.837578198904538
20,18,15.21597104052442
24,13,8.891312749851537
